,Time,Air_Temperature (°C)
0,1996-01,-2.82
1,1996-02,-2.18
2,1996-03,1.0
3,1996-04,8.4
4,1996-05,11.15
5,1996-06,15.65
6,1996-07,15.89
7,1996-08,17.15
8,1996-09,10.9
9,1996-10,9.17
10,1996-11,4.48
11,1996-12,-2.36
12,1997-01,-2.63
13,1997-02,4.1
14,1997-03,5.84
15,1997-04,6.36
16,1997-05,12.66
17,1997-06,15.85
18,1997-07,17.15
19,1997-08,19.81
20,1997-09,13.7
21,1997-10,7.66
22,1997-11,3.98
23,1997-12,2.2
24,1998-01,2.39
25,1998-02,4.33
26,1998-03,4.98
27,1998-04,8.85
28,1998-05,14.03
29,1998-06,16.45
30,1998-07,16.42
31,1998-08,16.73
32,1998-09,13.35
33,1998-10,8.7
34,1998-11,1.55
35,1998-12,0.99
36,1999-01,2.6
37,1999-02,0.39
38,1999-03,5.41
39,1999-04,8.9
40,1999-05,13.76
41,1999-06,15.23
42,1999-07,18.98
43,1999-08,17.17
44,1999-09,16.82
45,1999-10,8.99
46,1999-11,3.46
47,1999-12,2.17
48,2000-01,1.06
49,2000-02,3.87
50,2000-03,5.17
51,2000-04,10.15
52,2000-05,14.62
53,2000-06,16.99
54,2000-07,15.3
55,2000-08,17.6
56,2000-09,13.91
57,2000-10,10.56
58,2000-11,6.1
59,2000-12,3.12
60,2001-01,0.87
61,2001-02,2.26
62,2001-03,4.23
63,2001-04,7.1
64,2001-05,14.39
65,2001-06,14.34
66,2001-07,18.56
67,2001-08,18.59
68,2001-09,11.77
69,2001-10,12.48
70,2001-11,3.82
71,2001-12,-0.21
72,2002-01,1.19
73,2002-02,5.05
74,2002-03,5.39
75,2002-04,8.06
76,2002-05,13.77
77,2002-06,17.39
78,2002-07,17.71
79,2002-08,18.8
80,2002-09,13.15
81,2002-10,8.29
82,2002-11,5.55
83,2002-12,0.34
84,2003-01,-0.25
85,2003-02,-1.86
86,2003-03,5.34
87,2003-04,8.5
88,2003-05,14.14
89,2003-06,19.35
90,2003-07,19.11
91,2003-08,20.56
92,2003-09,13.85
93,2003-10,5.94
94,2003-11,6.02
95,2003-12,1.81
96,2004-01,-0.09
97,2004-02,2.42
98,2004-03,4.11
99,2004-04,9.35
100,2004-05,11.58
101,2004-06,15.27
102,2004-07,16.8
103,2004-08,18.43
104,2004-09,14.01
105,2004-10,10.08
106,2004-11,4.21
107,2004-12,1.08
108,2005-01,2.03
109,2005-02,-1.03
110,2005-03,3.63
111,2005-04,9.26
112,2005-05,12.76
113,2005-06,16.38
114,2005-07,18.02
115,2005-08,15.78
116,2005-09,14.99
117,2005-10,10.99
118,2005-11,4.17
119,2005-12,0.87
120,2006-01,-2.59
121,2006-02,-0.36
122,2006-03,1.52
123,2006-04,8.04
124,2006-05,13.06
125,2006-06,16.82
126,2006-07,21.99
127,2006-08,15.54
128,2006-09,16.9
129,2006-10,12.14
130,2006-11,7.03
131,2006-12,4.43
132,2007-01,4.76
133,2007-02,3.94
134,2007-03,6.18
135,2007-04,11.52
136,2007-05,14.16
137,2007-06,17.38
138,2007-07,17.24
139,2007-08,16.86
140,2007-09,12.58
141,2007-10,8.35
142,2007-11,3.67
143,2007-12,1.59
144,2008-01,3.65
145,2008-02,3.72
146,2008-03,4.24
147,2008-04,7.64
148,2008-05,14.51
149,2008-06,16.94
150,2008-07,18.02
151,2008-08,17.38
152,2008-09,12.44
153,2008-10,9.09
154,2008-11,5.06
155,2008-12,1.06
156,2009-01,-2.16
157,2009-02,0.51
158,2009-03,4.3
159,2009-04,11.83
160,2009-05,13.62
161,2009-06,14.81
162,2009-07,18.01
163,2009-08,18.65
164,2009-09,14.69
165,2009-10,8.17
166,2009-11,7.38
167,2009-12,0.32
168,2010-01,-3.65
169,2010-02,-0.5
170,2010-03,4.2
171,2010-04,8.69
172,2010-05,10.43
173,2010-06,16.33
174,2010-07,20.33
175,2010-08,16.7
176,2010-09,12.39
177,2010-10,8.13
178,2010-11,4.76
179,2010-12,-3.66
180,2011-01,0.95
