,TIME,Air_Temperature
115,1996-01,-2.82
116,1997-01,-2.63
117,1998-01,2.39
118,1999-01,2.6
119,2000-01,1.06
120,2001-01,0.87
121,2002-01,1.19
122,2003-01,-0.25
123,2004-01,-0.09
124,2005-01,2.03
125,2006-01,-2.59
126,2007-01,4.76
127,2008-01,3.65
128,2009-01,-2.16
129,2010-01,-3.65
130,2011-01,0.95
131,2012-01,1.91
132,2013-01,0.2
133,2014-01,2.12
134,2015-01,2.19
135,2016-01,1.01
136,2017-01,-2.15
137,2018-01,3.72
138,2019-01,0.63
139,2020-01,3.48
140,2021-01,0.63
141,2022-01,2.79
142,2023-01,3.62
