,Time,Air_Temperature (°C)
115,1996-07,15.89
116,1997-07,17.15
117,1998-07,16.42
118,1999-07,18.98
119,2000-07,15.3
120,2001-07,18.56
121,2002-07,17.71
122,2003-07,19.11
123,2004-07,16.8
124,2005-07,18.02
125,2006-07,21.99
126,2007-07,17.24
127,2008-07,18.02
128,2009-07,18.01
129,2010-07,20.33
130,2011-07,16.1
131,2012-07,17.39
132,2013-07,19.45
133,2014-07,19.3
134,2015-07,19.39
135,2016-07,18.61
136,2017-07,18.06
137,2018-07,20.29
138,2019-07,18.9
139,2020-07,17.69
140,2021-07,18.37
141,2022-07,19.13
142,2023-07,18.72
