,Time,Air_Temperature
115,1996-06,15.65
116,1997-06,15.85
117,1998-06,16.45
118,1999-06,15.23
119,2000-06,16.99
120,2001-06,14.34
121,2002-06,17.39
122,2003-06,19.35
123,2004-06,15.27
124,2005-06,16.38
125,2006-06,16.82
126,2007-06,17.38
127,2008-06,16.94
128,2009-06,14.81
129,2010-06,16.33
130,2011-06,16.54
131,2012-06,15.47
132,2013-06,15.66
133,2014-06,16.09
134,2015-06,15.82
135,2016-06,16.99
136,2017-06,17.76
137,2018-06,17.73
138,2019-06,19.78
139,2020-06,16.89
140,2021-06,18.98
141,2022-06,18.33
142,2023-06,18.56
