,TIME,Air_Temperature
115,1996-05,11.15
116,1997-05,12.66
117,1998-05,14.03
118,1999-05,13.76
119,2000-05,14.62
120,2001-05,14.39
121,2002-05,13.77
122,2003-05,14.14
123,2004-05,11.58
124,2005-05,12.76
125,2006-05,13.06
126,2007-05,14.16
127,2008-05,14.51
128,2009-05,13.62
129,2010-05,10.43
130,2011-05,13.87
131,2012-05,14.21
132,2013-05,11.78
133,2014-05,12.4
134,2015-05,12.34
135,2016-05,13.69
136,2017-05,14.13
137,2018-05,16.03
138,2019-05,10.99
139,2020-05,11.91
140,2021-05,10.72
141,2022-05,14.44
142,2023-05,13.08
