,Time,Air_Temperature (°C)
115,1996-09,10.9
116,1997-09,13.7
117,1998-09,13.35
118,1999-09,16.82
119,2000-09,13.91
120,2001-09,11.77
121,2002-09,13.15
122,2003-09,13.85
123,2004-09,14.01
124,2005-09,14.99
125,2006-09,16.9
126,2007-09,12.58
127,2008-09,12.44
128,2009-09,14.69
129,2010-09,12.39
130,2011-09,15.22
131,2012-09,13.63
132,2013-09,13.27
133,2014-09,14.92
134,2015-09,12.96
135,2016-09,16.85
136,2017-09,12.79
137,2018-09,15.09
138,2019-09,14.05
139,2020-09,14.82
140,2021-09,15.16
141,2022-09,13.37
