,Time,€/kWh
0,2007-01,0.1489
1,2007-02,0.1489
2,2007-03,0.1489
3,2007-04,0.1489
4,2007-05,0.1489
5,2007-06,0.1489
6,2007-07,0.1479
7,2007-08,0.1479
8,2007-09,0.1479
9,2007-10,0.1479
10,2007-11,0.1479
11,2007-12,0.1479
12,2008-01,0.1525
13,2008-02,0.1525
14,2008-03,0.1525
15,2008-04,0.1525
16,2008-05,0.1525
17,2008-06,0.1525
18,2008-07,0.1585
19,2008-08,0.1585
20,2008-09,0.1585
21,2008-10,0.1585
22,2008-11,0.1585
23,2008-12,0.1585
24,2009-01,0.1626
25,2009-02,0.1626
26,2009-03,0.1626
27,2009-04,0.1626
28,2009-05,0.1626
29,2009-06,0.1626
30,2009-07,0.1636
31,2009-08,0.1636
32,2009-09,0.1636
33,2009-10,0.1636
34,2009-11,0.1636
35,2009-12,0.1636
36,2010-01,0.1604
37,2010-02,0.1604
38,2010-03,0.1604
39,2010-04,0.1604
40,2010-05,0.1604
41,2010-06,0.1604
42,2010-07,0.1603
43,2010-08,0.1603
44,2010-09,0.1603
45,2010-10,0.1603
46,2010-11,0.1603
47,2010-12,0.1603
48,2011-01,0.1616
49,2011-02,0.1616
50,2011-03,0.1616
51,2011-04,0.1616
52,2011-05,0.1616
53,2011-06,0.1616
54,2011-07,0.1698
55,2011-08,0.1698
56,2011-09,0.1698
57,2011-10,0.1698
58,2011-11,0.1698
59,2011-12,0.1698
60,2012-01,0.166
61,2012-02,0.166
62,2012-03,0.166
63,2012-04,0.166
64,2012-05,0.166
65,2012-06,0.166
66,2012-07,0.1655
67,2012-08,0.1655
68,2012-09,0.1655
69,2012-10,0.1655
70,2012-11,0.1655
71,2012-12,0.1655
72,2013-01,0.1625
73,2013-02,0.1625
74,2013-03,0.1625
75,2013-04,0.1625
76,2013-05,0.1625
77,2013-06,0.1625
78,2013-07,0.1513
79,2013-08,0.1513
80,2013-09,0.1513
81,2013-10,0.1513
82,2013-11,0.1513
83,2013-12,0.1513
84,2014-01,0.1423
85,2014-02,0.1423
86,2014-03,0.1423
87,2014-04,0.1423
88,2014-05,0.1423
89,2014-06,0.1423
90,2014-07,0.1403
91,2014-08,0.1403
92,2014-09,0.1403
93,2014-10,0.1403
94,2014-11,0.1403
95,2014-12,0.1403
96,2015-01,0.1349
97,2015-02,0.1349
98,2015-03,0.1349
99,2015-04,0.1349
100,2015-05,0.1349
101,2015-06,0.1349
102,2015-07,0.1334
103,2015-08,0.1334
104,2015-09,0.1334
105,2015-10,0.1334
106,2015-11,0.1334
107,2015-12,0.1334
108,2016-01,0.1287
109,2016-02,0.1287
110,2016-03,0.1287
111,2016-04,0.1287
112,2016-05,0.1287
113,2016-06,0.1287
114,2016-07,0.1252
115,2016-08,0.1252
116,2016-09,0.1252
117,2016-10,0.1252
118,2016-11,0.1252
119,2016-12,0.1252
120,2017-01,0.1203
121,2017-02,0.1203
122,2017-03,0.1203
123,2017-04,0.1203
124,2017-05,0.1203
125,2017-06,0.1203
126,2017-07,0.121
127,2017-08,0.121
128,2017-09,0.121
129,2017-10,0.121
130,2017-11,0.121
131,2017-12,0.121
132,2018-01,0.1319
133,2018-02,0.1319
134,2018-03,0.1319
135,2018-04,0.1319
136,2018-05,0.1319
137,2018-06,0.1319
138,2018-07,0.131
139,2018-08,0.131
140,2018-09,0.131
141,2018-10,0.131
142,2018-11,0.131
143,2018-12,0.131
144,2019-01,0.1348
145,2019-02,0.1348
146,2019-03,0.1348
147,2019-04,0.1348
148,2019-05,0.1348
149,2019-06,0.1348
150,2019-07,0.1207
151,2019-08,0.1207
152,2019-09,0.1207
153,2019-10,0.1207
154,2019-11,0.1207
155,2019-12,0.1207
156,2020-01,0.1346
157,2020-02,0.1346
158,2020-03,0.1346
159,2020-04,0.1346
160,2020-05,0.1346
161,2020-06,0.1346
162,2020-07,0.1369
163,2020-08,0.1369
164,2020-09,0.1369
165,2020-10,0.1369
166,2020-11,0.1369
167,2020-12,0.1369
168,2021-01,0.1402
169,2021-02,0.1402
170,2021-03,0.1402
171,2021-04,0.1402
172,2021-05,0.1402
173,2021-06,0.1402
174,2021-07,0.1444
175,2021-08,0.1444
176,2021-09,0.1444
177,2021-10,0.1444
178,2021-11,0.1444
179,2021-12,0.1444
180,2022-01,0.1809
181,2022-02,0.1809
182,2022-03,0.1809
183,2022-04,0.1809
184,2022-05,0.1809
185,2022-06,0.1809
186,2022-07,0.2231
187,2022-08,0.2231
188,2022-09,0.2231
189,2022-10,0.2231
190,2022-11,0.2231
191,2022-12,0.2231
