,Time,€/kWh
0,2007-01,0.0667
1,2007-02,0.0667
2,2007-03,0.0667
3,2007-04,0.0667
4,2007-05,0.0667
5,2007-06,0.0667
6,2007-07,0.0724
7,2007-08,0.0724
8,2007-09,0.0724
9,2007-10,0.0724
10,2007-11,0.0724
11,2007-12,0.0724
12,2008-01,0.0791
13,2008-02,0.0791
14,2008-03,0.0791
15,2008-04,0.0791
16,2008-05,0.0791
17,2008-06,0.0791
18,2008-07,0.0798
19,2008-08,0.0798
20,2008-09,0.0798
21,2008-10,0.0798
22,2008-11,0.0798
23,2008-12,0.0798
24,2009-01,0.0788
25,2009-02,0.0788
26,2009-03,0.0788
27,2009-04,0.0788
28,2009-05,0.0788
29,2009-06,0.0788
30,2009-07,0.0754
31,2009-08,0.0754
32,2009-09,0.0754
33,2009-10,0.0754
34,2009-11,0.0754
35,2009-12,0.0754
36,2010-01,0.07
37,2010-02,0.07
38,2010-03,0.07
39,2010-04,0.07
40,2010-05,0.07
41,2010-06,0.07
42,2010-07,0.0714
43,2010-08,0.0714
44,2010-09,0.0714
45,2010-10,0.0714
46,2010-11,0.0714
47,2010-12,0.0714
48,2011-01,0.0707
49,2011-02,0.0707
50,2011-03,0.0707
51,2011-04,0.0707
52,2011-05,0.0707
53,2011-06,0.0707
54,2011-07,0.0716
55,2011-08,0.0716
56,2011-09,0.0716
57,2011-10,0.0716
58,2011-11,0.0716
59,2011-12,0.0716
60,2012-01,0.072
61,2012-02,0.072
62,2012-03,0.072
63,2012-04,0.072
64,2012-05,0.072
65,2012-06,0.072
66,2012-07,0.0711
67,2012-08,0.0711
68,2012-09,0.0711
69,2012-10,0.0711
70,2012-11,0.0711
71,2012-12,0.0711
72,2013-01,0.0702
73,2013-02,0.0702
74,2013-03,0.0702
75,2013-04,0.0702
76,2013-05,0.0702
77,2013-06,0.0702
78,2013-07,0.0695
79,2013-08,0.0695
80,2013-09,0.0695
81,2013-10,0.0695
82,2013-11,0.0695
83,2013-12,0.0695
84,2014-01,0.0637
85,2014-02,0.0637
86,2014-03,0.0637
87,2014-04,0.0637
88,2014-05,0.0637
89,2014-06,0.0637
90,2014-07,0.0627
91,2014-08,0.0627
92,2014-09,0.0627
93,2014-10,0.0627
94,2014-11,0.0627
95,2014-12,0.0627
96,2015-01,0.0595
97,2015-02,0.0595
98,2015-03,0.0595
99,2015-04,0.0595
100,2015-05,0.0595
101,2015-06,0.0595
102,2015-07,0.0639
103,2015-08,0.0639
104,2015-09,0.0639
105,2015-10,0.0639
106,2015-11,0.0639
107,2015-12,0.0639
108,2016-01,0.0546
109,2016-02,0.0546
110,2016-03,0.0546
111,2016-04,0.0546
112,2016-05,0.0546
113,2016-06,0.0546
114,2016-07,0.0528
115,2016-08,0.0528
116,2016-09,0.0528
117,2016-10,0.0528
118,2016-11,0.0528
119,2016-12,0.0528
120,2017-01,0.0493
121,2017-02,0.0493
122,2017-03,0.0493
123,2017-04,0.0493
124,2017-05,0.0493
125,2017-06,0.0493
126,2017-07,0.0459
127,2017-08,0.0459
128,2017-09,0.0459
129,2017-10,0.0459
130,2017-11,0.0459
131,2017-12,0.0459
132,2018-01,0.0501
133,2018-02,0.0501
134,2018-03,0.0501
135,2018-04,0.0501
136,2018-05,0.0501
137,2018-06,0.0501
138,2018-07,0.0516
139,2018-08,0.0516
140,2018-09,0.0516
141,2018-10,0.0516
142,2018-11,0.0516
143,2018-12,0.0516
144,2019-01,0.0582
145,2019-02,0.0582
146,2019-03,0.0582
147,2019-04,0.0582
148,2019-05,0.0582
149,2019-06,0.0582
150,2019-07,0.0513
151,2019-08,0.0513
152,2019-09,0.0513
153,2019-10,0.0513
154,2019-11,0.0513
155,2019-12,0.0513
156,2020-01,0.0531
157,2020-02,0.0531
158,2020-03,0.0531
159,2020-04,0.0531
160,2020-05,0.0531
161,2020-06,0.0531
162,2020-07,0.0602
163,2020-08,0.0602
164,2020-09,0.0602
165,2020-10,0.0602
166,2020-11,0.0602
167,2020-12,0.0602
168,2021-01,0.0644
169,2021-02,0.0644
170,2021-03,0.0644
171,2021-04,0.0644
172,2021-05,0.0644
173,2021-06,0.0644
174,2021-07,0.0786
175,2021-08,0.0786
176,2021-09,0.0786
177,2021-10,0.0786
178,2021-11,0.0786
179,2021-12,0.0786
180,2022-01,0.1391
181,2022-02,0.1391
182,2022-03,0.1391
183,2022-04,0.1391
184,2022-05,0.1391
185,2022-06,0.1391
186,2022-07,0.1744
187,2022-08,0.1744
188,2022-09,0.1744
189,2022-10,0.1744
190,2022-11,0.1744
191,2022-12,0.1744
