,Time,Exchange_rate ($/€)
0,1996-01,1.2918
1,1996-02,1.2886
2,1996-03,1.2813
3,1996-04,1.2639
4,1996-05,1.2467
5,1996-06,1.2529
6,1996-07,1.2706
7,1996-08,1.2832
8,1996-09,1.2691
9,1996-10,1.2584
10,1996-11,1.2769
11,1996-12,1.2503
12,1997-01,1.2162
13,1997-02,1.1658
14,1997-03,1.1498
15,1997-04,1.145
16,1997-05,1.1493
17,1997-06,1.1366
18,1997-07,1.1049
19,1997-08,1.0727
20,1997-09,1.0999
21,1997-10,1.1203
22,1997-11,1.1394
23,1997-12,1.1116
24,1998-01,1.0877
25,1998-02,1.0884
26,1998-03,1.0843
27,1998-04,1.0911
28,1998-05,1.109
29,1998-06,1.1014
30,1998-07,1.0975
31,1998-08,1.1016
32,1998-09,1.1541
33,1998-10,1.1938
34,1998-11,1.1644
35,1998-12,1.1721
36,1999-01,1.1608
37,1999-02,1.1208
38,1999-03,1.0883
39,1999-04,1.0704
40,1999-05,1.0628
41,1999-06,1.0378
42,1999-07,1.0353
43,1999-08,1.0604
44,1999-09,1.0501
45,1999-10,1.0706
46,1999-11,1.0338
47,1999-12,1.011
48,2000-01,1.0137
49,2000-02,0.9834
50,2000-03,0.9643
51,2000-04,0.947
52,2000-05,0.906
53,2000-06,0.9492
54,2000-07,0.9397
55,2000-08,0.9041
56,2000-09,0.8721
57,2000-10,0.8552
58,2000-11,0.8564
59,2000-12,0.8973
60,2001-01,0.9383
61,2001-02,0.9217
62,2001-03,0.9095
63,2001-04,0.892
64,2001-05,0.8742
65,2001-06,0.8532
66,2001-07,0.8607
67,2001-08,0.9005
68,2001-09,0.9111
69,2001-10,0.9059
70,2001-11,0.8883
71,2001-12,0.8924
72,2002-01,0.8833
73,2002-02,0.87
74,2002-03,0.8758
75,2002-04,0.8858
76,2002-05,0.917
77,2002-06,0.9554
78,2002-07,0.9922
79,2002-08,0.9778
80,2002-09,0.9808
81,2002-10,0.9811
82,2002-11,1.0014
83,2002-12,1.0183
