,Time,Oil_price (USD per gallon)
0,1996-01,"16,52"
1,1996-02,"17,76"
2,1996-03,"19,41"
3,1996-04,"19,02"
4,1996-05,"17,8"
5,1996-06,"18,91"
6,1996-07,"18,9"
7,1996-08,"20,78"
8,1996-09,"23,21"
9,1996-10,"22,67"
10,1996-11,"22,77"
11,1996-12,"23,81"
12,1997-01,"22,52"
13,1997-02,"18,85"
14,1997-03,"19,38"
15,1997-04,"18,52"
16,1997-05,"19,4"
17,1997-06,"18,51"
18,1997-07,"18,94"
19,1997-08,"18,51"
20,1997-09,"19,9"
21,1997-10,"20,02"
22,1997-11,"18,94"
23,1997-12,"16,52"
24,1998-01,"15,96"
25,1998-02,"14,17"
26,1998-03,"14,26"
27,1998-04,"14,46"
28,1998-05,"14,37"
29,1998-06,"13,38"
30,1998-07,"13,09"
31,1998-08,"12,56"
32,1998-09,"14,68"
33,1998-10,"13,22"
34,1998-11,"10,46"
35,1998-12,"10,53"
36,1999-01,"11,35"
37,1999-02,"10,88"
38,1999-03,"15,24"
39,1999-04,"16,57"
40,1999-05,"15,2"
41,1999-06,"17,51"
42,1999-07,"19,37"
43,1999-08,"21,33"
44,1999-09,"23,58"
45,1999-10,"21,69"
46,1999-11,"23,64"
47,1999-12,"25,08"
48,2000-01,"25,97"
49,2000-02,"28,09"
50,2000-03,"24,77"
51,2000-04,"23,89"
52,2000-05,"28,31"
53,2000-06,"30,57"
54,2000-07,"26,93"
55,2000-08,"31,72"
56,2000-09,"29,84"
57,2000-10,"30,76"
58,2000-11,"31,88"
59,2000-12,"23,87"
60,2001-01,"26,66"
61,2001-02,"25,57"
62,2001-03,"24,74"
63,2001-04,"27,89"
64,2001-05,"29,34"
65,2001-06,"26,08"
66,2001-07,"24,69"
67,2001-08,"26,41"
68,2001-09,"23,26"
69,2001-10,"20,37"
70,2001-11,"19,14"
71,2001-12,"19,9"
72,2002-01,"19,18"
73,2002-02,"21,33"
74,2002-03,"25,92"
75,2002-04,"26,47"
76,2002-05,"24,45"
77,2002-06,"25,58"
78,2002-07,"25,44"
79,2002-08,"27,47"
80,2002-09,"28,75"
81,2002-10,"25,72"
82,2002-11,"25,16"
83,2002-12,"28,66"
84,2003-01,"31,1"
85,2003-02,"32,79"
86,2003-03,"27,18"
87,2003-04,"23,68"
88,2003-05,"26,32"
89,2003-06,"28,33"
90,2003-07,"28,37"
91,2003-08,"29,49"
92,2003-09,"27,61"
93,2003-10,"27,7"
94,2003-11,"28,45"
95,2003-12,"30,17"
96,2004-01,"29,18"
97,2004-02,"32,23"
98,2004-03,"31,51"
99,2004-04,"34,48"
100,2004-05,"36,58"
101,2004-06,"34,5"
102,2004-07,"40,03"
103,2004-08,"39,61"
104,2004-09,"46,38"
105,2004-10,"48,98"
106,2004-11,"45,51"
107,2004-12,"40,46"
108,2005-01,"45,92"
109,2005-02,"50,06"
110,2005-03,"54,29"
111,2005-04,"51,09"
112,2005-05,"50,73"
113,2005-06,"55,58"
114,2005-07,"59,37"
115,2005-08,"67,02"
116,2005-09,"63,48"
117,2005-10,"58,1"
118,2005-11,"55,05"
119,2005-12,"58,98"
120,2006-01,"65,99"
121,2006-02,"61,76"
122,2006-03,"65,91"
123,2006-04,"72,5"
124,2006-05,"70,41"
125,2006-06,"73,51"
126,2006-07,"75,15"
127,2006-08,"70,25"
128,2006-09,"62,48"
129,2006-10,"59,03"
130,2006-11,"64,26"
131,2006-12,"60,86"
132,2007-01,"57,4"
133,2007-02,"61,89"
134,2007-03,"68,1"
135,2007-04,"67,65"
136,2007-05,"68,04"
137,2007-06,"71,41"
138,2007-07,"77,05"
139,2007-08,"72,69"
140,2007-09,"79,17"
141,2007-10,"90,63"
142,2007-11,"88,26"
143,2007-12,"93,85"
144,2008-01,"92,21"
145,2008-02,"100,1"
146,2008-03,"100,3"
147,2008-04,"111,36"
148,2008-05,"127,78"
149,2008-06,"139,83"
150,2008-07,"123,98"
151,2008-08,"114,05"
152,2008-09,"98,17"
153,2008-10,"65,32"
154,2008-11,"53,49"
155,2008-12,"45,59"
156,2009-01,"45,88"
157,2009-02,"46,35"
158,2009-03,"49,23"
159,2009-04,"50,8"
160,2009-05,"65,52"
161,2009-06,"69,3"
162,2009-07,"71,7"
163,2009-08,"69,65"
164,2009-09,"69,07"
165,2009-10,"75,2"
166,2009-11,"78,47"
167,2009-12,"77,93"
168,2010-01,"71,46"
169,2010-02,"77,59"
170,2010-03,"82,7"
171,2010-04,"87,44"
172,2010-05,"74,65"
173,2010-06,"75,01"
174,2010-07,"78,18"
175,2010-08,"74,64"
