,Time,Precipitation (l/m²)
115,1996-02,48.6
116,1997-02,85.2
117,1998-02,20.5
118,1999-02,84.0
119,2000-02,95.2
120,2001-02,58.6
121,2002-02,114.9
122,2003-02,21.0
123,2004-02,51.3
124,2005-02,67.7
125,2006-02,54.4
126,2007-02,75.8
127,2008-02,45.3
128,2009-02,62.1
129,2010-02,48.5
130,2011-02,30.5
131,2012-02,25.0
132,2013-02,51.1
133,2014-02,32.1
134,2015-02,22.3
135,2016-02,77.8
136,2017-02,44.6
137,2018-02,17.8
138,2019-02,29.9
139,2020-02,124.1
140,2021-02,48.9
141,2022-02,83.7
142,2023-02,43.1
