,Time,Precipitation (l/m²)
115,1996-01,7.0
116,1997-01,11.2
117,1998-01,64.4
118,1999-01,66.1
119,2000-01,54.8
120,2001-01,61.1
121,2002-01,47.4
122,2003-01,82.8
123,2004-01,109.4
124,2005-01,71.0
125,2006-01,26.7
126,2007-01,98.2
127,2008-01,74.0
128,2009-01,33.2
129,2010-01,46.8
130,2011-01,63.8
131,2012-01,105.1
132,2013-01,64.4
133,2014-01,44.9
134,2015-01,85.4
135,2016-01,77.3
136,2017-01,45.2
137,2018-01,101.7
138,2019-01,81.8
139,2020-01,40.5
140,2021-01,80.2
141,2022-01,58.2
142,2023-01,69.4
