,Time,Precipitation (l/m²)
115,1996-07,94.1
116,1997-07,111.9
117,1998-07,81.7
118,1999-07,71.6
119,2000-07,120.8
120,2001-07,68.9
121,2002-07,116.2
122,2003-07,68.0
123,2004-07,104.0
124,2005-07,110.0
125,2006-07,49.5
126,2007-07,121.3
127,2008-07,88.6
128,2009-07,107.6
129,2010-07,81.5
130,2011-07,124.0
131,2012-07,99.0
132,2013-07,38.9
133,2014-07,126.6
134,2015-07,72.2
135,2016-07,70.0
136,2017-07,132.4
137,2018-07,40.0
138,2019-07,56.0
139,2020-07,51.8
140,2021-07,107.2
141,2022-07,37.8
142,2023-07,97.0
