,Time,Precipitation (l/m²)
115,1996-03,23.3
116,1997-03,48.4
117,1998-03,69.6
118,1999-03,63.0
119,2000-03,105.5
120,2001-03,109.2
121,2002-03,62.9
122,2003-03,27.4
123,2004-03,37.6
124,2005-03,44.0
125,2006-03,84.1
126,2007-03,63.3
127,2008-03,86.9
128,2009-03,77.7
129,2010-03,52.2
130,2011-03,20.4
131,2012-03,14.9
132,2013-03,33.4
133,2014-03,18.6
134,2015-03,55.5
135,2016-03,45.5
136,2017-03,57.0
137,2018-03,50.9
138,2019-03,74.7
139,2020-03,50.9
140,2021-03,46.0
141,2022-03,15.0
142,2023-03,90.4
