,Time,Precipitation (l/m²)
115,1996-05,91.4
116,1997-05,64.3
117,1998-05,45.1
118,1999-05,76.0
119,2000-05,66.0
120,2001-05,40.3
121,2002-05,79.1
122,2003-05,66.0
123,2004-05,72.3
124,2005-05,84.5
125,2006-05,94.5
126,2007-05,131.1
127,2008-05,30.2
128,2009-05,76.0
129,2010-05,103.3
130,2011-05,44.1
131,2012-05,52.8
132,2013-05,128.2
133,2014-05,90.4
134,2015-05,51.7
135,2016-05,67.7
136,2017-05,59.6
137,2018-05,52.0
138,2019-05,78.6
139,2020-05,38.4
140,2021-05,94.9
141,2022-05,47.0
142,2023-05,42.7
