,Time,Precipitation (l/m²)
0,1996-01,7.0
1,1996-02,48.6
2,1996-03,23.3
3,1996-04,23.1
4,1996-05,91.4
5,1996-06,51.8
6,1996-07,94.1
7,1996-08,87.7
8,1996-09,50.3
9,1996-10,79.0
10,1996-11,86.1
11,1996-12,40.5
12,1997-01,11.2
13,1997-02,85.2
14,1997-03,48.4
15,1997-04,45.4
16,1997-05,64.3
17,1997-06,91.0
18,1997-07,111.9
19,1997-08,44.9
20,1997-09,25.4
21,1997-10,63.7
22,1997-11,38.3
23,1997-12,84.3
24,1998-01,64.4
25,1998-02,20.5
26,1998-03,69.6
27,1998-04,74.7
28,1998-05,45.1
29,1998-06,96.2
30,1998-07,81.7
31,1998-08,62.9
32,1998-09,111.2
33,1998-10,166.1
34,1998-11,74.3
35,1998-12,52.9
36,1999-01,66.1
37,1999-02,84.0
38,1999-03,63.0
39,1999-04,58.4
40,1999-05,76.0
41,1999-06,78.6
42,1999-07,71.6
43,1999-08,68.6
44,1999-09,54.2
45,1999-10,41.8
46,1999-11,54.6
47,1999-12,121.1
48,2000-01,54.8
49,2000-02,95.2
50,2000-03,105.5
51,2000-04,35.4
52,2000-05,66.0
53,2000-06,50.5
54,2000-07,120.8
55,2000-08,71.1
56,2000-09,81.7
57,2000-10,58.7
58,2000-11,49.1
59,2000-12,49.1
60,2001-01,61.1
61,2001-02,58.6
62,2001-03,109.2
63,2001-04,73.6
64,2001-05,40.3
65,2001-06,93.8
66,2001-07,68.9
67,2001-08,68.3
68,2001-09,138.5
69,2001-10,45.3
70,2001-11,84.9
71,2001-12,86.3
72,2002-01,47.4
73,2002-02,114.9
74,2002-03,62.9
75,2002-04,54.0
76,2002-05,79.1
77,2002-06,70.9
78,2002-07,116.2
79,2002-08,119.8
80,2002-09,58.4
81,2002-10,108.9
82,2002-11,114.5
83,2002-12,71.2
84,2003-01,82.8
85,2003-02,21.0
86,2003-03,27.4
87,2003-04,36.6
88,2003-05,66.0
89,2003-06,51.9
90,2003-07,68.0
91,2003-08,33.1
92,2003-09,52.8
93,2003-10,74.1
94,2003-11,38.8
95,2003-12,55.7
96,2004-01,109.4
97,2004-02,51.3
98,2004-03,37.6
99,2004-04,40.1
100,2004-05,72.3
101,2004-06,72.6
102,2004-07,104.0
103,2004-08,89.2
104,2004-09,64.3
105,2004-10,53.3
106,2004-11,72.8
107,2004-12,45.1
108,2005-01,71.0
109,2005-02,67.7
110,2005-03,44.0
111,2005-04,57.0
112,2005-05,84.5
113,2005-06,53.3
114,2005-07,110.0
115,2005-08,83.7
116,2005-09,56.3
117,2005-10,40.3
118,2005-11,48.1
119,2005-12,69.4
120,2006-01,26.7
121,2006-02,54.4
122,2006-03,84.1
123,2006-04,66.2
124,2006-05,94.5
125,2006-06,47.2
126,2006-07,49.5
127,2006-08,135.8
128,2006-09,30.3
129,2006-10,59.1
130,2006-11,55.5
131,2006-12,46.7
132,2007-01,98.2
133,2007-02,75.8
134,2007-03,63.3
135,2007-04,4.0
136,2007-05,131.1
137,2007-06,108.6
138,2007-07,121.3
139,2007-08,95.0
140,2007-09,97.4
141,2007-10,26.4
142,2007-11,85.3
143,2007-12,63.1
144,2008-01,74.0
145,2008-02,45.3
146,2008-03,86.9
147,2008-04,80.2
148,2008-05,30.2
149,2008-06,59.1
150,2008-07,88.6
151,2008-08,87.6
152,2008-09,57.1
153,2008-10,76.2
154,2008-11,44.7
155,2008-12,48.5
156,2009-01,33.2
157,2009-02,62.1
158,2009-03,77.7
159,2009-04,30.3
160,2009-05,76.0
161,2009-06,85.1
162,2009-07,107.6
163,2009-08,42.5
164,2009-09,41.6
165,2009-10,79.4
166,2009-11,93.0
167,2009-12,84.2
168,2010-01,46.8
169,2010-02,48.5
170,2010-03,52.2
171,2010-04,20.8
172,2010-05,103.3
173,2010-06,49.4
174,2010-07,81.5
175,2010-08,161.6
176,2010-09,82.7
177,2010-10,35.8
178,2010-11,96.9
179,2010-12,89.1
180,2011-01,63.8
181,2011-02,30.5
182,2011-03,20.4
183,2011-04,25.0
184,2011-05,44.1
185,2011-06,89.9
186,2011-07,124.0
187,2011-08,97.0
188,2011-09,58.6
189,2011-10,53.1
190,2011-11,2.4
191,2011-12,124.1
192,2012-01,105.1
193,2012-02,25.0
194,2012-03,14.9
195,2012-04,42.7
196,2012-05,52.8
197,2012-06,97.1
198,2012-07,99.0
199,2012-08,64.7
200,2012-09,49.0
201,2012-10,60.7
202,2012-11,58.5
203,2012-12,98.0
204,2013-01,64.4
205,2013-02,51.1
206,2013-03,33.4
207,2013-04,39.9
208,2013-05,128.2
209,2013-06,91.8
210,2013-07,38.9
211,2013-08,56.4
212,2013-09,83.4
213,2013-10,77.8
214,2013-11,72.1
215,2013-12,41.2
216,2014-01,44.9
217,2014-02,32.1
218,2014-03,18.6
219,2014-04,42.4
220,2014-05,90.4
221,2014-06,51.4
222,2014-07,126.6
223,2014-08,97.2
224,2014-09,54.5
225,2014-10,63.7
226,2014-11,29.7
227,2014-12,75.5
228,2015-01,85.4
229,2015-02,22.3
230,2015-03,55.5
231,2015-04,41.4
232,2015-05,51.7
233,2015-06,57.5
234,2015-07,72.2
235,2015-08,74.8
236,2015-09,56.3
237,2015-10,46.6
238,2015-11,101.0
239,2015-12,36.5
240,2016-01,77.3
241,2016-02,77.8
242,2016-03,45.5
243,2016-04,53.3
244,2016-05,67.7
245,2016-06,115.5
246,2016-07,70.0
247,2016-08,46.2
248,2016-09,39.1
249,2016-10,57.0
250,2016-11,57.3
251,2016-12,26.5
252,2017-01,45.2
253,2017-02,44.6
