,Date,Temperature (°C),Precipitation (l/m²)
0,1996-01,-2.82,7.0
1,1996-02,-2.18,48.6
2,1996-03,1.0,23.3
3,1996-04,8.4,23.1
4,1996-05,11.15,91.4
5,1996-06,15.65,51.8
6,1996-07,15.89,94.1
7,1996-08,17.15,87.7
8,1996-09,10.9,50.3
9,1996-10,9.17,79.0
10,1996-11,4.48,86.1
11,1996-12,-2.36,40.5
12,1997-01,-2.63,11.2
13,1997-02,4.1,85.2
14,1997-03,5.84,48.4
15,1997-04,6.36,45.4
16,1997-05,12.66,64.3
17,1997-06,15.85,91.0
18,1997-07,17.15,111.9
19,1997-08,19.81,44.9
20,1997-09,13.7,25.4
21,1997-10,7.66,63.7
22,1997-11,3.98,38.3
23,1997-12,2.2,84.3
24,1998-01,2.39,64.4
25,1998-02,4.33,20.5
26,1998-03,4.98,69.6
27,1998-04,8.85,74.7
28,1998-05,14.03,45.1
29,1998-06,16.45,96.2
30,1998-07,16.42,81.7
31,1998-08,16.73,62.9
32,1998-09,13.35,111.2
33,1998-10,8.7,166.1
34,1998-11,1.55,74.3
35,1998-12,0.99,52.9
36,1999-01,2.6,66.1
37,1999-02,0.39,84.0
38,1999-03,5.41,63.0
39,1999-04,8.9,58.4
40,1999-05,13.76,76.0
41,1999-06,15.23,78.6
42,1999-07,18.98,71.6
43,1999-08,17.17,68.6
44,1999-09,16.82,54.2
45,1999-10,8.99,41.8
46,1999-11,3.46,54.6
47,1999-12,2.17,121.1
48,2000-01,1.06,54.8
49,2000-02,3.87,95.2
50,2000-03,5.17,105.5
51,2000-04,10.15,35.4
52,2000-05,14.62,66.0
53,2000-06,16.99,50.5
54,2000-07,15.3,120.8
55,2000-08,17.6,71.1
56,2000-09,13.91,81.7
57,2000-10,10.56,58.7
58,2000-11,6.1,49.1
59,2000-12,3.12,49.1
60,2001-01,0.87,61.1
61,2001-02,2.26,58.6
62,2001-03,4.23,109.2
63,2001-04,7.1,73.6
64,2001-05,14.39,40.3
65,2001-06,14.34,93.8
66,2001-07,18.56,68.9
67,2001-08,18.59,68.3
68,2001-09,11.77,138.5
69,2001-10,12.48,45.3
70,2001-11,3.82,84.9
71,2001-12,-0.21,86.3
72,2002-01,1.19,47.4
73,2002-02,5.05,114.9
74,2002-03,5.39,62.9
75,2002-04,8.06,54.0
76,2002-05,13.77,79.1
77,2002-06,17.39,70.9
78,2002-07,17.71,116.2
79,2002-08,18.8,119.8
80,2002-09,13.15,58.4
81,2002-10,8.29,108.9
82,2002-11,5.55,114.5
83,2002-12,0.34,71.2
84,2003-01,-0.25,82.8
85,2003-02,-1.86,21.0
86,2003-03,5.34,27.4
87,2003-04,8.5,36.6
88,2003-05,14.14,66.0
89,2003-06,19.35,51.9
90,2003-07,19.11,68.0
91,2003-08,20.56,33.1
92,2003-09,13.85,52.8
93,2003-10,5.94,74.1
94,2003-11,6.02,38.8
95,2003-12,1.81,55.7
96,2004-01,-0.09,109.4
97,2004-02,2.42,51.3
98,2004-03,4.11,37.6
99,2004-04,9.35,40.1
100,2004-05,11.58,72.3
