,TIME,Food_Price
0,1996-01,74.9
1,1996-02,75.5
2,1996-03,76.1
3,1996-04,76.4
4,1996-05,76.2
5,1996-06,76.1
6,1996-07,76.1
7,1996-08,75.2
8,1996-09,74.5
9,1996-10,74.3
10,1996-11,74.2
11,1996-12,74.4
12,1997-01,76.1
13,1997-02,76.2
14,1997-03,75.8
15,1997-04,76.3
16,1997-05,76.9
17,1997-06,77.2
18,1997-07,76.7
19,1997-08,75.9
20,1997-09,75.8
21,1997-10,75.7
22,1997-11,75.9
23,1997-12,76.4
24,1998-01,77.4
25,1998-02,77.3
26,1998-03,77.0
27,1998-04,77.4
28,1998-05,77.9
29,1998-06,78.0
30,1998-07,77.4
31,1998-08,76.5
32,1998-09,76.1
33,1998-10,75.7
34,1998-11,76.0
35,1998-12,76.2
36,1999-01,77.0
37,1999-02,77.0
38,1999-03,76.9
39,1999-04,77.3
40,1999-05,77.3
41,1999-06,76.8
42,1999-07,76.1
43,1999-08,75.2
44,1999-09,74.9
45,1999-10,74.6
46,1999-11,74.8
47,1999-12,75.0
48,2000-01,75.9
49,2000-02,76.4
50,2000-03,75.8
51,2000-04,76.2
52,2000-05,76.5
53,2000-06,76.6
54,2000-07,76.2
55,2000-08,75.4
56,2000-09,75.1
57,2000-10,75.0
58,2000-11,75.4
59,2000-12,76.1
60,2001-01,77.4
61,2001-02,77.7
62,2001-03,78.5
63,2001-04,80.0
64,2001-05,81.5
65,2001-06,81.8
66,2001-07,81.3
67,2001-08,79.9
68,2001-09,79.7
69,2001-10,79.8
70,2001-11,79.3
71,2001-12,79.8
72,2002-01,82.4
73,2002-02,82.0
74,2002-03,81.8
75,2002-04,81.8
76,2002-05,81.7
77,2002-06,80.9
78,2002-07,80.3
79,2002-08,79.4
80,2002-09,79.3
81,2002-10,79.0
82,2002-11,78.6
83,2002-12,78.9
84,2003-01,79.9
85,2003-02,80.3
86,2003-03,80.7
87,2003-04,80.9
88,2003-05,81.0
89,2003-06,81.3
90,2003-07,80.7
91,2003-08,79.7
92,2003-09,80.1
93,2003-10,80.2
94,2003-11,80.0
95,2003-12,80.2
96,2004-01,81.1
97,2004-02,80.7
98,2004-03,80.5
99,2004-04,80.7
100,2004-05,80.9
101,2004-06,81.0
102,2004-07,80.5
103,2004-08,79.6
104,2004-09,79.1
105,2004-10,79.1
106,2004-11,79.0
107,2004-12,79.9
108,2005-01,80.2
109,2005-02,80.7
110,2005-03,80.9
111,2005-04,80.8
112,2005-05,81.2
113,2005-06,81.2
114,2005-07,80.4
115,2005-08,79.6
116,2005-09,79.5
117,2005-10,79.2
118,2005-11,79.4
119,2005-12,80.1
120,2006-01,80.9
121,2006-02,81.2
122,2006-03,81.1
123,2006-04,81.5
124,2006-05,82.2
125,2006-06,82.3
126,2006-07,82.0
127,2006-08,81.7
128,2006-09,81.9
129,2006-10,81.6
130,2006-11,81.8
131,2006-12,82.2
132,2007-01,83.0
133,2007-02,82.9
134,2007-03,82.7
135,2007-04,83.7
136,2007-05,83.6
137,2007-06,83.7
138,2007-07,83.5
139,2007-08,83.7
140,2007-09,84.1
141,2007-10,85.6
142,2007-11,86.5
143,2007-12,87.1
144,2008-01,88.4
145,2008-02,88.4
146,2008-03,88.8
147,2008-04,89.1
148,2008-05,89.2
149,2008-06,89.2
150,2008-07,89.4
151,2008-08,89.0
152,2008-09,88.8
153,2008-10,89.0
154,2008-11,88.3
155,2008-12,88.9
156,2009-01,89.3
157,2009-02,89.4
158,2009-03,88.9
159,2009-04,88.6
160,2009-05,88.1
161,2009-06,88.4
162,2009-07,87.3
163,2009-08,86.4
164,2009-09,86.1
165,2009-10,86.0
166,2009-11,86.4
167,2009-12,87.0
168,2010-01,88.1
169,2010-02,88.3
170,2010-03,89.1
171,2010-04,89.9
172,2010-05,89.3
173,2010-06,89.5
174,2010-07,89.6
175,2010-08,88.8
176,2010-09,88.7
177,2010-10,88.5
178,2010-11,89.3
179,2010-12,90.2
180,2011-01,90.5
181,2011-02,91.2
182,2011-03,91.4
183,2011-04,91.4
184,2011-05,91.8
185,2011-06,91.3
186,2011-07,91.1
187,2011-08,90.8
188,2011-09,91.1
189,2011-10,91.3
190,2011-11,91.6
191,2011-12,92.2
192,2012-01,93.1
193,2012-02,94.3
194,2012-03,94.7
195,2012-04,94.5
196,2012-05,94.0
197,2012-06,94.4
198,2012-07,93.8
199,2012-08,93.8
200,2012-09,93.7
201,2012-10,94.3
202,2012-11,95.5
203,2012-12,96.4
204,2013-01,97.3
205,2013-02,97.2
206,2013-03,98.1
207,2013-04,98.2
208,2013-05,99.2
209,2013-06,99.4
210,2013-07,99.1
211,2013-08,98.1
212,2013-09,97.9
213,2013-10,98.0
214,2013-11,98.3
215,2013-12,100.0
216,2014-01,100.7
217,2014-02,100.6
218,2014-03,100.1
219,2014-04,99.8
220,2014-05,99.4
221,2014-06,99.3
222,2014-07,99.1
223,2014-08,98.5
224,2014-09,98.7
225,2014-10,98.6
226,2014-11,98.3
227,2014-12,98.7
228,2015-01,99.3
229,2015-02,100.1
230,2015-03,100.0
231,2015-04,100.8
232,2015-05,100.8
233,2015-06,100.1
234,2015-07,99.4
235,2015-08,99.1
236,2015-09,99.7
237,2015-10,100.3
238,2015-11,100.5
239,2015-12,100.0
240,2016-01,100.1
241,2016-02,100.9
242,2016-03,101.4
243,2016-04,101.6
244,2016-05,101.0
245,2016-06,100.5
246,2016-07,100.8
247,2016-08,100.2
248,2016-09,100.4
249,2016-10,100.4
250,2016-11,101.6
251,2016-12,102.8
252,2017-01,103.5
253,2017-02,105.6
254,2017-03,103.7
255,2017-04,103.3
256,2017-05,103.2
257,2017-06,103.1
258,2017-07,103.4
259,2017-08,103.2
260,2017-09,103.8
261,2017-10,104.7
262,2017-11,104.9
263,2017-12,105.7
264,2018-01,106.5
265,2018-02,106.4
266,2018-03,106.6
267,2018-04,106.7
268,2018-05,106.9
269,2018-06,106.5
270,2018-07,106.1
271,2018-08,105.8
272,2018-09,106.7
273,2018-10,106.6
274,2018-11,106.4
275,2018-12,106.8
276,2019-01,107.3
277,2019-02,107.9
278,2019-03,107.4
279,2019-04,107.4
280,2019-05,107.8
281,2019-06,108.0
282,2019-07,108.3
283,2019-08,108.5
284,2019-09,108.3
285,2019-10,107.9
286,2019-11,108.4
287,2019-12,109.0
288,2020-01,110.0
289,2020-02,111.6
290,2020-03,111.4
291,2020-04,112.6
292,2020-05,112.7
293,2020-06,112.5
294,2020-07,109.5
295,2020-08,109.2
296,2020-09,109.0
297,2020-10,109.4
298,2020-11,109.9
299,2020-12,109.5
300,2021-01,112.3
301,2021-02,113.2
302,2021-03,113.1
303,2021-04,114.5
304,2021-05,114.2
305,2021-06,113.8
306,2021-07,114.2
307,2021-08,114.2
308,2021-09,114.2
309,2021-10,114.2
310,2021-11,114.8
311,2021-12,116.0
312,2022-01,117.8
313,2022-02,119.1
314,2022-03,120.1
315,2022-04,124.2
316,2022-05,126.7
317,2022-06,128.0
318,2022-07,130.8
319,2022-08,132.9
320,2022-09,135.2
321,2022-10,136.9
322,2022-11,138.7
323,2022-12,139.8
324,2023-01,142.0
325,2023-02,145.6
326,2023-03,147.6
327,2023-04,146.5
328,2023-05,146.2
329,2023-06,146.0
