Unnamed: 0,Date,Food_Price,Air_Temperature,grain_starch_output_price
0,1996-01,74.9,-2.82,87.3
1,1996-02,75.5,-2.18,87.4
2,1996-03,76.1,1.0,87.7
3,1996-04,76.4,8.4,87.8
4,1996-05,76.2,11.15,88.8
5,1996-06,76.1,15.65,89.4
6,1996-07,76.1,15.89,89.7
7,1996-08,75.2,17.15,89.8
8,1996-09,74.5,10.9,89.2
9,1996-10,74.3,9.17,88.5
10,1996-11,74.2,4.48,88.4
11,1996-12,74.4,-2.36,88.1
12,1997-01,76.1,-2.63,87.7
13,1997-02,76.2,4.1,87.3
14,1997-03,75.8,5.84,87
15,1997-04,76.3,6.36,86.6
16,1997-05,76.9,12.66,86.4
17,1997-06,77.2,15.85,85.8
18,1997-07,76.7,17.15,85.5
19,1997-08,75.9,19.81,84.9
20,1997-09,75.8,13.7,84.5
21,1997-10,75.7,7.66,83.7
22,1997-11,75.9,3.98,83.6
23,1997-12,76.4,2.2,83.5
24,1998-01,77.4,2.39,83.6
25,1998-02,77.3,4.33,83
26,1998-03,77.0,4.98,83
27,1998-04,77.4,8.85,82.6
28,1998-05,77.9,14.03,82.4
29,1998-06,78.0,16.45,81.8
30,1998-07,77.4,16.42,81.7
31,1998-08,76.5,16.73,81.5
32,1998-09,76.1,13.35,81.2
33,1998-10,75.7,8.7,80.8
34,1998-11,76.0,1.55,80.7
35,1998-12,76.2,0.99,80.7
36,1999-01,77.0,2.6,80.2
37,1999-02,77.0,0.39,80
38,1999-03,76.9,5.41,79.8
39,1999-04,77.3,8.9,79.7
40,1999-05,77.3,13.76,79.5
41,1999-06,76.8,15.23,79.4
42,1999-07,76.1,18.98,79.1
43,1999-08,75.2,17.17,78.9
44,1999-09,74.9,16.82,78.6
45,1999-10,74.6,8.99,78.5
46,1999-11,74.8,3.46,78.6
47,1999-12,75.0,2.17,78.8
48,2000-01,75.9,1.06,79
49,2000-02,76.4,3.87,79.1
50,2000-03,75.8,5.17,79.3
51,2000-04,76.2,10.15,79.2
52,2000-05,76.5,14.62,79.1
53,2000-06,76.6,16.99,79.6
54,2000-07,76.2,15.3,79.6
55,2000-08,75.4,17.6,81.5
56,2000-09,75.1,13.91,81.9
57,2000-10,75.0,10.56,82.4
58,2000-11,75.4,6.1,82.7
59,2000-12,76.1,3.12,82.9
60,2001-01,77.4,0.87,83.4
61,2001-02,77.7,2.26,83.4
62,2001-03,78.5,4.23,83.3
63,2001-04,80.0,7.1,83.3
64,2001-05,81.5,14.39,83.3
65,2001-06,81.8,14.34,83.4
66,2001-07,81.3,18.56,83.6
67,2001-08,79.9,18.59,83.5
68,2001-09,79.7,11.77,83.6
69,2001-10,79.8,12.48,83.6
70,2001-11,79.3,3.82,83.5
71,2001-12,79.8,-0.21,83.4
72,2002-01,82.4,1.19,83.6
73,2002-02,82.0,5.05,83.5
74,2002-03,81.8,5.39,83.3
75,2002-04,81.8,8.06,83.4
76,2002-05,81.7,13.77,83.3
77,2002-06,80.9,17.39,83
78,2002-07,80.3,17.71,82.7
79,2002-08,79.4,18.8,82.2
80,2002-09,79.3,13.15,84.1
81,2002-10,79.0,8.29,85
82,2002-11,78.6,5.55,85.9
83,2002-12,78.9,0.34,86
84,2003-01,79.9,-0.25,86
85,2003-02,80.3,-1.86,85.8
86,2003-03,80.7,5.34,85.7
87,2003-04,80.9,8.5,85.6
88,2003-05,81.0,14.14,85.5
89,2003-06,81.3,19.35,85.8
90,2003-07,80.7,19.11,85.6
91,2003-08,79.7,20.56,85.5
92,2003-09,80.1,13.85,86.5
93,2003-10,80.2,5.94,87
94,2003-11,80.0,6.02,87.4
95,2003-12,80.2,1.81,88
96,2004-01,81.1,-0.09,88.5
97,2004-02,80.7,2.42,88.5
98,2004-03,80.5,4.11,88.3
