Datetime,FoodPriceIndex
1996-01,74.9
1996-02,75.5
1996-03,76.1
1996-04,76.4
1996-05,76.2
1996-06,76.1
1996-07,76.1
1996-08,75.2
1996-09,74.5
1996-10,74.3
1996-11,74.2
1996-12,74.4
1997-01,76.1
1997-02,76.2
1997-03,75.8
1997-04,76.3
1997-05,76.9
1997-06,77.2
1997-07,76.7
1997-08,75.9
1997-09,75.8
1997-10,75.7
1997-11,75.9
1997-12,76.4
1998-01,77.4
1998-02,77.3
1998-03,77.0
1998-04,77.4
1998-05,77.9
1998-06,78.0
1998-07,77.4
1998-08,76.5
1998-09,76.1
1998-10,75.7
1998-11,76.0
1998-12,76.2
1999-01,77.0
1999-02,77.0
1999-03,76.9
1999-04,77.3
1999-05,77.3
1999-06,76.8
1999-07,76.1
1999-08,75.2
1999-09,74.9
1999-10,74.6
1999-11,74.8
1999-12,75.0
2000-01,75.9
2000-02,76.4
2000-03,75.8
2000-04,76.2
2000-05,76.5
2000-06,76.6
2000-07,76.2
2000-08,75.4
2000-09,75.1
2000-10,75.0
2000-11,75.4
2000-12,76.1
2001-01,77.4
2001-02,77.7
2001-03,78.5
2001-04,80.0
2001-05,81.5
2001-06,81.8
2001-07,81.3
2001-08,79.9
2001-09,79.7
2001-10,79.8
2001-11,79.3
2001-12,79.8
2002-01,82.4
2002-02,82.0
2002-03,81.8
2002-04,81.8
2002-05,81.7
2002-06,80.9
2002-07,80.3
2002-08,79.4
2002-09,79.3
2002-10,79.0
2002-11,78.6
2002-12,78.9
2003-01,79.9
2003-02,80.3
2003-03,80.7
2003-04,80.9
2003-05,81.0
2003-06,81.3
2003-07,80.7
2003-08,79.7
2003-09,80.1
2003-10,80.2
2003-11,80.0
2003-12,80.2
2004-01,81.1
2004-02,80.7
2004-03,80.5
2004-04,80.7
2004-05,80.9
2004-06,81.0
2004-07,80.5
2004-08,79.6
2004-09,79.1
2004-10,79.1
2004-11,79.0
2004-12,79.9
2005-01,80.2
2005-02,80.7
2005-03,80.9
2005-04,80.8
2005-05,81.2
2005-06,81.2
2005-07,80.4
2005-08,79.6
2005-09,79.5
2005-10,79.2
2005-11,79.4
2005-12,80.1
2006-01,80.9
2006-02,81.2
2006-03,81.1
2006-04,81.5
2006-05,82.2
2006-06,82.3
2006-07,82.0
2006-08,81.7
2006-09,81.9
2006-10,81.6
2006-11,81.8
2006-12,82.2
2007-01,83.0
2007-02,82.9
2007-03,82.7
2007-04,83.7
2007-05,83.6
2007-06,83.7
2007-07,83.5
2007-08,83.7
2007-09,84.1
2007-10,85.6
2007-11,86.5
2007-12,87.1
2008-01,88.4
2008-02,88.4
2008-03,88.8
2008-04,89.1
2008-05,89.2
2008-06,89.2
2008-07,89.4
2008-08,89.0
2008-09,88.8
2008-10,89.0
2008-11,88.3
2008-12,88.9
2009-01,89.3
2009-02,89.4
2009-03,88.9
2009-04,88.6
2009-05,88.1
2009-06,88.4
2009-07,87.3
2009-08,86.4
2009-09,86.1
2009-10,86.0
2009-11,86.4
2009-12,87.0
2010-01,88.1
2010-02,88.3
2010-03,89.1
2010-04,89.9
2010-05,89.3
2010-06,89.5
2010-07,89.6
2010-08,88.8
2010-09,88.7
2010-10,88.5
2010-11,89.3
2010-12,90.2
2011-01,90.5
2011-02,91.2
2011-03,91.4
2011-04,91.4
2011-05,91.8
2011-06,91.3
2011-07,91.1
2011-08,90.8
2011-09,91.1
2011-10,91.3
2011-11,91.6
2011-12,92.2
2012-01,93.1
2012-02,94.3
2012-03,94.7
2012-04,94.5
2012-05,94.0
2012-06,94.4
2012-07,93.8
2012-08,93.8
2012-09,93.7
2012-10,94.3
2012-11,95.5
2012-12,96.4
2013-01,97.3
2013-02,97.2
2013-03,98.1
2013-04,98.2
2013-05,99.2
2013-06,99.4
2013-07,99.1
2013-08,98.1
2013-09,97.9
2013-10,98.0
2013-11,98.3
2013-12,100.0
2014-01,100.7
2014-02,100.6
2014-03,100.1
2014-04,99.8
2014-05,99.4
2014-06,99.3
2014-07,99.1
2014-08,98.5
2014-09,98.7
2014-10,98.6
2014-11,98.3
2014-12,98.7
2015-01,99.3
2015-02,100.1
2015-03,100.0
2015-04,100.8
2015-05,100.8
2015-06,100.1
2015-07,99.4
2015-08,99.1
2015-09,99.7
2015-10,100.3
2015-11,100.5
2015-12,100.0
2016-01,100.1
2016-02,100.9
2016-03,101.4
2016-04,101.6
2016-05,101.0
2016-06,100.5
2016-07,100.8
2016-08,100.2
2016-09,100.4
2016-10,100.4
2016-11,101.6
2016-12,102.8
2017-01,103.5
2017-02,105.6
2017-03,103.7
2017-04,103.3
2017-05,103.2
2017-06,103.1
2017-07,103.4
2017-08,103.2
2017-09,103.8
2017-10,104.7
2017-11,104.9
2017-12,105.7
2018-01,106.5
2018-02,106.4
2018-03,106.6
2018-04,106.7
2018-05,106.9
2018-06,106.5
2018-07,106.1
2018-08,105.8
2018-09,106.7
2018-10,106.6
2018-11,106.4
2018-12,106.8
2019-01,107.3
2019-02,107.9
2019-03,107.4
2019-04,107.4
2019-05,107.8
2019-06,108.0
2019-07,108.3
2019-08,108.5
2019-09,108.3
2019-10,107.9
2019-11,108.4
2019-12,109.0
2020-01,110.0
2020-02,111.6
2020-03,111.4
2020-04,112.6
2020-05,112.7
2020-06,112.5
2020-07,109.5
2020-08,109.2
2020-09,109.0
2020-10,109.4
2020-11,109.9
2020-12,109.5
2021-01,112.3
2021-02,113.2
2021-03,113.1
2021-04,114.5
2021-05,114.2
2021-06,113.8
2021-07,114.2
2021-08,114.2
2021-09,114.2
2021-10,114.2
2021-11,114.8
2021-12,116.0
2022-01,117.8
2022-02,119.1
2022-03,120.1
2022-04,124.2
2022-05,126.7
2022-06,128.0
2022-07,130.8
2022-08,132.9
2022-09,135.2
2022-10,136.9
2022-11,138.7
2022-12,139.8
2023-01,142.0
2023-02,145.6
2023-03,147.6
2023-04,146.5
2023-05,146.2
2023-06,146.0
