,Date,Food_Price,Air_Temperature
0,1996-01,74.9,-2.82
1,1996-02,75.5,-2.18
2,1996-03,76.1,1.0
3,1996-04,76.4,8.4
4,1996-05,76.2,11.15
5,1996-06,76.1,15.65
6,1996-07,76.1,15.89
7,1996-08,75.2,17.15
8,1996-09,74.5,10.9
9,1996-10,74.3,9.17
10,1996-11,74.2,4.48
11,1996-12,74.4,-2.36
12,1997-01,76.1,-2.63
13,1997-02,76.2,4.1
14,1997-03,75.8,5.84
15,1997-04,76.3,6.36
16,1997-05,76.9,12.66
17,1997-06,77.2,15.85
18,1997-07,76.7,17.15
19,1997-08,75.9,19.81
20,1997-09,75.8,13.7
21,1997-10,75.7,7.66
22,1997-11,75.9,3.98
23,1997-12,76.4,2.2
24,1998-01,77.4,2.39
25,1998-02,77.3,4.33
26,1998-03,77.0,4.98
27,1998-04,77.4,8.85
28,1998-05,77.9,14.03
29,1998-06,78.0,16.45
30,1998-07,77.4,16.42
31,1998-08,76.5,16.73
32,1998-09,76.1,13.35
33,1998-10,75.7,8.7
34,1998-11,76.0,1.55
35,1998-12,76.2,0.99
36,1999-01,77.0,2.6
37,1999-02,77.0,0.39
38,1999-03,76.9,5.41
39,1999-04,77.3,8.9
40,1999-05,77.3,13.76
41,1999-06,76.8,15.23
42,1999-07,76.1,18.98
43,1999-08,75.2,17.17
44,1999-09,74.9,16.82
45,1999-10,74.6,8.99
46,1999-11,74.8,3.46
47,1999-12,75.0,2.17
48,2000-01,75.9,1.06
49,2000-02,76.4,3.87
50,2000-03,75.8,5.17
51,2000-04,76.2,10.15
52,2000-05,76.5,14.62
53,2000-06,76.6,16.99
54,2000-07,76.2,15.3
55,2000-08,75.4,17.6
56,2000-09,75.1,13.91
57,2000-10,75.0,10.56
58,2000-11,75.4,6.1
59,2000-12,76.1,3.12
60,2001-01,77.4,0.87
61,2001-02,77.7,2.26
62,2001-03,78.5,4.23
63,2001-04,80.0,7.1
64,2001-05,81.5,14.39
65,2001-06,81.8,14.34
66,2001-07,81.3,18.56
67,2001-08,79.9,18.59
68,2001-09,79.7,11.77
69,2001-10,79.8,12.48
70,2001-11,79.3,3.82
71,2001-12,79.8,-0.21
72,2002-01,82.4,1.19
73,2002-02,82.0,5.05
74,2002-03,81.8,5.39
75,2002-04,81.8,8.06
76,2002-05,81.7,13.77
77,2002-06,80.9,17.39
78,2002-07,80.3,17.71
79,2002-08,79.4,18.8
80,2002-09,79.3,13.15
81,2002-10,79.0,8.29
82,2002-11,78.6,5.55
83,2002-12,78.9,0.34
84,2003-01,79.9,-0.25
85,2003-02,80.3,-1.86
86,2003-03,80.7,5.34
87,2003-04,80.9,8.5
88,2003-05,81.0,14.14
89,2003-06,81.3,19.35
90,2003-07,80.7,19.11
91,2003-08,79.7,20.56
92,2003-09,80.1,13.85
93,2003-10,80.2,5.94
94,2003-11,80.0,6.02
95,2003-12,80.2,1.81
96,2004-01,81.1,-0.09
97,2004-02,80.7,2.42
98,2004-03,80.5,4.11
99,2004-04,80.7,9.35
100,2004-05,80.9,11.58
101,2004-06,81.0,15.27
102,2004-07,80.5,16.8
103,2004-08,79.6,18.43
104,2004-09,79.1,14.01
105,2004-10,79.1,10.08
106,2004-11,79.0,4.21
107,2004-12,79.9,1.08
108,2005-01,80.2,2.03
109,2005-02,80.7,-1.03
110,2005-03,80.9,3.63
111,2005-04,80.8,9.26
112,2005-05,81.2,12.76
113,2005-06,81.2,16.38
114,2005-07,80.4,18.02
115,2005-08,79.6,15.78
116,2005-09,79.5,14.99
117,2005-10,79.2,10.99
118,2005-11,79.4,4.17
119,2005-12,80.1,0.87
120,2006-01,80.9,-2.59
121,2006-02,81.2,-0.36
122,2006-03,81.1,1.52
123,2006-04,81.5,8.04
124,2006-05,82.2,13.06
125,2006-06,82.3,16.82
126,2006-07,82.0,21.99
127,2006-08,81.7,15.54
